조회일자,주문코드,지점명,상품코드,상품명,규격,수량,단위,단가,공급가,부가세,합계,대분류
2026-01-02,144196,역대짬뽕 두정점(IOI),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2026-01-02,144176,역대짬뽕 송파점(95),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2026-01-02,143748,역대짬뽕 장안본점(98),140472,한잎목이버섯(중찬명가)1kg,1kg*10,4,EA,25000,100000,0,100000,농산물류
2026-01-03,143742,역대짬뽕 다산1호점(14),108200,@농산(감자/왕왕/국내산)1kg,kg,1,KG,7570,7570,0,7570,농산물류
2026-01-03,143742,역대짬뽕 다산1호점(14),108208,@농산/고구마(왕/밤고구마)1kg,kg,1,KG,5860,5860,0,5860,농산물류
2026-01-03,143742,역대짬뽕 다산1호점(14),108721,@샐러리(국내산) 1단,500g내외,1,단,4680,4680,0,4680,농산물류
2026-01-03,143742,역대짬뽕 다산1호점(14),139913,쌀(농협.알찬/한토래/신동진/국내산)20kg,20kg/50포(판),1,포,61000,61000,0,61000,농산물류
2026-01-03,143987,역대짬뽕(화목토)(99)新오산시청점,116240,냉동다진생강(황보)1kg,1kg*10,1,EA,5300,5300,0,5300,농산물류
2026-01-05,143742,역대짬뽕 다산1호점(14),116551,@농산(대통마늘*국산)500g,500g,1,EA,5310,5310,0,5310,농산물류
2026-01-05,144196,역대짬뽕 두정점(IOI),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2026-01-05,144196,역대짬뽕 두정점(IOI),139913,쌀(농협.알찬/한토래/신동진/국내산)20kg,20kg/50포(판),2,포,61000,122000,0,122000,농산물류
2026-01-05,144196,역대짬뽕 두정점(IOI),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2026-01-05,144176,역대짬뽕 송파점(95),116240,냉동다진생강(황보)1kg,1kg*10,3,EA,5300,15900,0,15900,농산물류
2026-01-05,143748,역대짬뽕 장안본점(98),140533,@깐마늘(大/국내산)300g,300g,2,EA,2950,5900,0,5900,농산물류
2026-01-05,143748,역대짬뽕 장안본점(98),130877,@연근(흙/통/국내산)kg,kg,1,KG,10700,10700,0,10700,농산물류
2026-01-06,143738,역대짬뽕병점점(99),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2026-01-07,143742,역대짬뽕 다산1호점(14),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2026-01-07,143748,역대짬뽕 장안본점(98),108265,@농산(맛타리버섯*국산)200g/팩 느타리버섯,200g,1,팩,1830,1830,0,1830,농산물류
2026-01-07,143748,역대짬뽕 장안본점(98),108208,@농산/고구마(왕/밤고구마)1kg,kg,1,KG,6670,6670,0,6670,농산물류
2026-01-07,143748,역대짬뽕 장안본점(98),116621,@농산1(시금치*특*국산)단,단,1,EA,3730,3730,0,3730,농산물류
2026-01-08,143748,역대짬뽕 장안본점(98),136873,건고추(중리/베트남)1kg,1kg*6,1,EA,17500,17500,0,17500,농산물류
2026-01-08,143987,역대짬뽕(화목토)(99)新오산시청점,116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2026-01-09,144196,역대짬뽕 두정점(IOI),116240,냉동다진생강(황보)1kg,1kg*10,3,EA,5300,15900,0,15900,농산물류
2026-01-09,144196,역대짬뽕 두정점(IOI),139913,쌀(농협.알찬/한토래/신동진/국내산)20kg,20kg/50포(판),2,포,61000,122000,0,122000,농산물류
2026-01-09,144176,역대짬뽕 송파점(95),116240,냉동다진생강(황보)1kg,1kg*10,4,EA,5300,21200,0,21200,농산물류
2026-01-09,143748,역대짬뽕 장안본점(98),116597,@농산(브로콜리*중국)낱개,낱개,3,EA,1790,5370,0,5370,농산물류
2026-01-09,143748,역대짬뽕 장안본점(98),108043,@농산1(부추*특*국산)단,단,1,단,3750,3750,0,3750,농산물류
2026-01-09,143748,역대짬뽕 장안본점(98),116621,@농산1(시금치*특*국산)단,단,2,EA,3730,7460,0,7460,농산물류
2026-01-10,143742,역대짬뽕 다산1호점(14),139913,쌀(농협.알찬/한토래/신동진/국내산)20kg,20kg/50포(판),1,포,61000,61000,0,61000,농산물류
2026-01-10,143742,역대짬뽕 다산1호점(14),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2026-01-10,143748,역대짬뽕 장안본점(98),140472,한잎목이버섯(중찬명가)1kg,1kg*10,4,EA,25000,100000,0,100000,농산물류
2026-01-12,143742,역대짬뽕 다산1호점(14),108200,@농산(감자/왕왕/국내산)1kg,kg,1,KG,6170,6170,0,6170,농산물류
2026-01-12,143742,역대짬뽕 다산1호점(14),108012,@농산(무우*육지*국산)낱개,8~9수박스,1,EA,2610,2610,0,2610,농산물류
2026-01-12,143742,역대짬뽕 다산1호점(14),108208,@농산/고구마(왕/밤고구마)1kg,kg,1,KG,6360,6360,0,6360,농산물류
2026-01-12,143742,역대짬뽕 다산1호점(14),108721,@샐러리(국내산) 1단,500g내외,1,단,4090,4090,0,4090,농산물류
2026-01-12,143742,역대짬뽕 다산1호점(14),116240,냉동다진생강(황보)1kg,1kg*10,3,EA,5300,15900,0,15900,농산물류
2026-01-12,144196,역대짬뽕 두정점(IOI),136873,건고추(중리/베트남)1kg,1kg*6,1,EA,17500,17500,0,17500,농산물류
2026-01-12,144196,역대짬뽕 두정점(IOI),116240,냉동다진생강(황보)1kg,1kg*10,5,EA,5300,26500,0,26500,농산물류
2026-01-12,144196,역대짬뽕 두정점(IOI),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2026-01-13,143742,역대짬뽕 다산1호점(14),108012,@농산(무우*육지*국산)낱개,8~9수박스,-1,EA,2810,-2810,0,-2810,농산물류
2026-01-14,143737,역대짬뽕 송탄점(99),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2026-01-15,143748,역대짬뽕 장안본점(98),140529,@고사리(먹/A급/중국)300g,300g,1,EA,1500,1500,0,1500,농산물류
2026-01-15,143748,역대짬뽕 장안본점(98),108265,@농산(맛타리버섯*국산)200g/팩 느타리버섯,200g,1,팩,1540,1540,0,1540,농산물류
2026-01-15,143748,역대짬뽕 장안본점(98),108012,@농산(무우*육지*국산)낱개,8~9수박스,1,EA,2600,2600,0,2600,농산물류
2026-01-15,143748,역대짬뽕 장안본점(98),108638,@숙주나물1kg,kg,1,KG,1950,1950,0,1950,농산물류
2026-01-15,143987,역대짬뽕(화목토)(99)新오산시청점,116240,냉동다진생강(황보)1kg,1kg*10,1,EA,5300,5300,0,5300,농산물류
2026-01-15,143738,역대짬뽕병점점(99),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2026-01-16,143742,역대짬뽕 다산1호점(14),108372,@청피망(특품/국내산)ea,,4,EA,1830,7320,0,7320,농산물류
2026-01-16,144196,역대짬뽕 두정점(IOI),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2026-01-16,144196,역대짬뽕 두정점(IOI),139913,쌀(농협.알찬/한토래/신동진/국내산)20kg,20kg/50포(판),1,포,61000,61000,0,61000,농산물류
2026-01-16,144196,역대짬뽕 두정점(IOI),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2026-01-16,144176,역대짬뽕 송파점(95),116240,냉동다진생강(황보)1kg,1kg*10,4,EA,5300,21200,0,21200,농산물류
2026-01-16,144176,역대짬뽕 송파점(95),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2026-01-16,143748,역대짬뽕 장안본점(98),116528,@농산(느타리버섯*상*국산)2kg/BOX,2kg,1,BOX,7500,7500,0,7500,농산물류
2026-01-17,143742,역대짬뽕 다산1호점(14),108200,@농산(감자/왕왕/국내산)1kg,kg,1,KG,5570,5570,0,5570,농산물류
