조회일자,주문코드,지점명,상품코드,상품명,규격,수량,단위,단가,공급가,부가세,합계,대분류
2026-05-25,144196,(IOI)역대짬뽕 두정점,105168,▣랩(유니)45cm*500m,45cm*500m*4,1,EA,28700,26091,2609,28700,용품류
2026-05-25,144196,(IOI)역대짬뽕 두정점,141403,냅킨(실속테이블냅킨/72매*80밴드)BOX,5760매,1,BOX,12100,11000,1100,12100,용품류
2026-05-25,144196,(IOI)역대짬뽕 두정점,139811,니트릴장갑(아큐핏/검정/대/두꺼운/100매),100매*10,9,각,9320,76255,7625,83880,용품류
2026-05-25,144196,(IOI)역대짬뽕 두정점,135903,물비누(엘지/하이퐁)12kg,(11.8L)12kg,1,통,15900,14455,1445,15900,용품류
2026-05-25,144196,(IOI)역대짬뽕 두정점,107741,물비누(LG/식기세척★린스)18.7L,18.7L,1,통,17900,16273,1627,17900,용품류
2026-05-25,144196,(IOI)역대짬뽕 두정점,107826,물비누(LG/식기세척기★세제)18.7L,18.7L,1,통,17400,15818,1582,17400,용품류
2026-05-25,144196,(IOI)역대짬뽕 두정점,120682,물티슈(이지라이프/일회용)box,(100매*4)box,2,BOX,11200,20364,2036,22400,용품류
2026-05-25,143742,역대짬뽕 다산1호점(14),139811,니트릴장갑(아큐핏/검정/대/두꺼운/100매),100매*10,1,각,8000,7273,727,8000,용품류
2026-05-25,143742,역대짬뽕 다산1호점(14),135903,물비누(엘지/하이퐁)12kg,(11.8L)12kg,1,통,15900,14455,1445,15900,용품류
2026-05-25,143748,역대짬뽕 장안본점(98),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10400,9455,945,10400,용품류
2026-05-25,143748,역대짬뽕 장안본점(98),141403,냅킨(실속테이블냅킨/72매*80밴드)BOX,5760매,1,BOX,11900,10818,1082,11900,용품류
2026-05-25,143748,역대짬뽕 장안본점(98),121565,키친타올(월드/파로마)★153매*2롤/1팩,(150매*2)*12,12,EA,2050,22364,2236,24600,용품류
2026-05-26,143742,역대짬뽕 다산1호점(14),119412,롤팩(크린업*中*30-40)500매,500매*10,2,EA,8380,15236,1524,16760,용품류
2026-05-26,143738,역대짬뽕병점점(99),135903,물비누(엘지/하이퐁)12kg,(11.8L)12kg,1,통,15900,14455,1445,15900,용품류
