조회일자,주문코드,지점명,상품코드,상품명,규격,수량,단위,단가,공급가,부가세,합계,대분류
2025-02-01,143736,역대짬뽕 오산시청점(99)(종료25.04),140439,(쥬뗌)또또단무지(그래도/역대짬뽕전용/150g*80)BOX,(150g*80),2,BOX,32800,65600,0,65600,공산품류
2025-02-01,143736,역대짬뽕 오산시청점(99)(종료25.04),140432,(쥬뗌)아주존백후추(승진/역대짬뽕전용)400g,400g*20,1,EA,10500,9545,955,10500,공산품류
2025-02-01,143736,역대짬뽕 오산시청점(99)(종료25.04),140418,(쥬뗌)참깨향기름(고향식품/역대짬뽕전용)1.8L,1.8L*8,1,EA,12100,11000,1100,12100,공산품류
2025-02-01,143736,역대짬뽕 오산시청점(99)(종료25.04),140115,깐메추리알(대림)1kg,1kg*10,1,EA,8670,7882,788,8670,공산품류
2025-02-01,143736,역대짬뽕 오산시청점(99)(종료25.04),116239,냉동다진마늘(황보/중국산/빨강)1kg,1kg*10,3,EA,2630,7890,0,7890,공산품류
2025-02-01,143736,역대짬뽕 오산시청점(99)(종료25.04),140143,만두(담두/자만두)1.26kg,1.26kg*8,4,EA,6000,21818,2182,24000,공산품류
2025-02-01,143736,역대짬뽕 오산시청점(99)(종료25.04),116321,순두부(진선*콩:수입산)400g,400g*40,10,EA,564,5640,0,5640,공산품류
2025-02-01,143736,역대짬뽕 오산시청점(99)(종료25.04),132446,참깨(해표/참고소한/볶음)1kg,1kg*10,1,EA,11500,10455,1045,11500,공산품류
2025-02-01,143742,역대짬뽕 다산1호점(14),140442,(쥬뗌)야채볶음밥(엄지/역대짬뽕전용/3kg*3)BOX,(3kg*3),3,BOX,45390,123791,12379,136170,공산품류
2025-02-01,143742,역대짬뽕 다산1호점(14),140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),8,BOX,54600,397091,39709,436800,공산품류
2025-02-01,143742,역대짬뽕 다산1호점(14),140419,(쥬뗌)짬뽕소스(대원/역대짬뽕전용/묶음재료/자품/9.65kg)BOX,9.65kg,1,BOX,92000,83636,8364,92000,공산품류
2025-02-01,143742,역대짬뽕 다산1호점(14),119318,당면(KO/역대/중화)2kg,2kg*5,1,EA,7600,6909,691,7600,공산품류
2025-02-01,143742,역대짬뽕 다산1호점(14),140143,만두(담두/자만두)1.26kg,1.26kg*8,5,EA,6000,27273,2727,30000,공산품류
2025-02-01,143742,역대짬뽕 다산1호점(14),140575,삼각멘보샤(지엔씨푸드/역대/15g*40ea)600g,15g*40ea*10pk,5,EA,10700,48636,4864,53500,공산품류
2025-02-01,143742,역대짬뽕 다산1호점(14),116321,순두부(진선*콩:수입산)400g,400g*40,10,EA,564,5640,0,5640,공산품류
