조회일자,주문코드,지점명,상품코드,상품명,규격,수량,단위,단가,공급가,부가세,합계,대분류
2025-02-03,143742,역대짬뽕 다산1호점(14),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2025-02-03,143748,역대짬뽕 장안본점(98),108222,@*세척당근(2L*중국산)10kg,(10kg)box,1,BOX,11900,11900,0,11900,농산물류
2025-02-03,143748,역대짬뽕 장안본점(98),108230,@농산(양파*원망*특*국산)18~19kg,20kg내외/망,3,망,25000,75000,0,75000,농산물류
2025-02-03,143748,역대짬뽕 장안본점(98),108367,@농산(청피망*특*국산)1kg,kg,2,KG,14100,28200,0,28200,농산물류
2025-02-03,143748,역대짬뽕 장안본점(98),108368,@홍피망(중품/국내산)1kg,kg,2,KG,15300,30600,0,30600,농산물류
2025-02-04,143744,역대짬뽕 천안SDI점(36)(종료25.09),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2025-02-04,143738,역대짬뽕병점점(99),140492,(쥬뗌)베트남사천고추(미래/역대짬뽕범용)1kg,1kg*10,1,EA,17500,17500,0,17500,농산물류
2025-02-07,143742,역대짬뽕 다산1호점(14),116240,냉동다진생강(황보)1kg,1kg*10,3,EA,5300,15900,0,15900,농산물류
2025-02-07,143748,역대짬뽕 장안본점(98),116638,@농산(양배추*특大*국산)망,3통,2,망,24900,49800,0,49800,농산물류
2025-02-07,143748,역대짬뽕 장안본점(98),108230,@농산(양파*원망*특*국산)18~19kg,20kg내외/망,4,망,27600,110400,0,110400,농산물류
2025-02-08,143736,역대짬뽕 오산시청점(99)(종료25.04),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2025-02-08,143748,역대짬뽕 장안본점(98),140492,(쥬뗌)베트남사천고추(미래/역대짬뽕범용)1kg,1kg*10,1,EA,17500,17500,0,17500,농산물류
2025-02-11,143736,역대짬뽕 오산시청점(99)(종료25.04),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2025-02-11,143744,역대짬뽕 천안SDI점(36)(종료25.09),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2025-02-11,143742,역대짬뽕 다산1호점(14),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2025-02-13,143748,역대짬뽕 장안본점(98),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2025-02-14,143744,역대짬뽕 천안SDI점(36)(종료25.09),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2025-02-14,143744,역대짬뽕 천안SDI점(36)(종료25.09),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2025-02-14,143737,역대짬뽕 송탄점(99),116240,냉동다진생강(황보)1kg,1kg*10,1,EA,5300,5300,0,5300,농산물류
2025-02-15,143742,역대짬뽕 다산1호점(14),139913,쌀(농협.알찬/한토래/신동진/국내산)20kg,20kg/50포(판),2,포,51000,102000,0,102000,농산물류
2025-02-15,143748,역대짬뽕 장안본점(98),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2025-02-18,143736,역대짬뽕 오산시청점(99)(종료25.04),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2025-02-18,143742,역대짬뽕 다산1호점(14),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2025-02-18,143748,역대짬뽕 장안본점(98),140492,(쥬뗌)베트남사천고추(미래/역대짬뽕범용)1kg,1kg*10,1,EA,17500,17500,0,17500,농산물류
2025-02-20,143742,역대짬뽕 다산1호점(14),116240,냉동다진생강(황보)1kg,1kg*10,3,EA,5300,15900,0,15900,농산물류
2025-02-20,143748,역대짬뽕 장안본점(98),116516,@농산(꽃상추*국산)500g,500g,1,EA,3130,3130,0,3130,농산물류
2025-02-20,143748,역대짬뽕 장안본점(98),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2025-02-20,143738,역대짬뽕병점점(99),140472,한잎목이버섯(중찬명가)1kg,1kg*10,4,EA,25000,100000,0,100000,농산물류
2025-02-21,143741,역대짬뽕 세종점(수금)(IOI)(종료25.09),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2025-02-21,143744,역대짬뽕 천안SDI점(36)(종료25.09),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2025-02-21,143737,역대짬뽕 송탄점(99),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2025-02-21,143739,역대짬뽕 화성반월점(99),116240,냉동다진생강(황보)1kg,1kg*10,4,EA,5300,21200,0,21200,농산물류
2025-02-22,143748,역대짬뽕 장안본점(98),140499,(쥬뗌)아몬드슬라이스(미래/역대짬뽕범용)1kg,(1kg*10)BOX,1,EA,13300,13300,0,13300,농산물류
2025-02-25,143736,역대짬뽕 오산시청점(99)(종료25.04),116240,냉동다진생강(황보)1kg,1kg*10,1,EA,5300,5300,0,5300,농산물류
2025-02-25,143748,역대짬뽕 장안본점(98),108230,@농산(양파*원망*특*국산)18~19kg,20kg내외/망,5,망,29600,148000,0,148000,농산물류
2025-02-26,143737,역대짬뽕 송탄점(99),116240,냉동다진생강(황보)1kg,1kg*10,1,EA,5300,5300,0,5300,농산물류
2025-02-27,143748,역대짬뽕 장안본점(98),140492,(쥬뗌)베트남사천고추(미래/역대짬뽕범용)1kg,1kg*10,1,EA,17500,17500,0,17500,농산물류
2025-02-27,143748,역대짬뽕 장안본점(98),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2025-02-28,143742,역대짬뽕 다산1호점(14),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2025-02-28,143742,역대짬뽕 다산1호점(14),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2025-03-01,143740,역대짬뽕 봉담점(99)(종료25.07),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2025-03-01,143736,역대짬뽕 오산시청점(99)(종료25.04),116240,냉동다진생강(황보)1kg,1kg*10,1,EA,5300,5300,0,5300,농산물류
2025-03-01,143738,역대짬뽕병점점(99),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2025-03-03,143748,역대짬뽕 장안본점(98),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),116240,냉동다진생강(황보)1kg,1kg*10,1,EA,5300,5300,0,5300,농산물류
2025-03-04,143748,역대짬뽕 장안본점(98),108230,@농산(양파*원망*특*국산)18~19kg,20kg내외/망,5,망,29600,148000,0,148000,농산물류
2025-03-05,143742,역대짬뽕 다산1호점(14),139913,쌀(농협.알찬/한토래/신동진/국내산)20kg,20kg/50포(판),2,포,51000,102000,0,102000,농산물류
2025-03-06,143748,역대짬뽕 장안본점(98),108703,@가지(특품/국내산)kg,kg,2,KG,9000,18000,0,18000,농산물류
2025-03-06,143748,역대짬뽕 장안본점(98),108012,@농산(무우*육지*국산)낱개,8~9수박스,2,EA,6190,12380,0,12380,농산물류
2025-03-06,143748,역대짬뽕 장안본점(98),116638,@농산(양배추*특大*국산)망,3통,3,망,34100,102300,0,102300,농산물류
2025-03-06,143748,역대짬뽕 장안본점(98),108230,@농산(양파*원망*특*국산)18~19kg,20kg내외/망,10,망,29600,296000,0,296000,농산물류
2025-03-06,143748,역대짬뽕 장안본점(98),140472,한잎목이버섯(중찬명가)1kg,1kg*10,4,EA,25000,100000,0,100000,농산물류
2025-03-07,143741,역대짬뽕 세종점(수금)(IOI)(종료25.09),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2025-03-07,143737,역대짬뽕 송탄점(99),116240,냉동다진생강(황보)1kg,1kg*10,1,EA,5300,5300,0,5300,농산물류
2025-03-08,143736,역대짬뽕 오산시청점(99)(종료25.04),116240,냉동다진생강(황보)1kg,1kg*10,1,EA,5300,5300,0,5300,농산물류
2025-03-08,143742,역대짬뽕 다산1호점(14),116240,냉동다진생강(황보)1kg,1kg*10,1,EA,5300,5300,0,5300,농산물류
2025-03-08,143748,역대짬뽕 장안본점(98),140492,(쥬뗌)베트남사천고추(미래/역대짬뽕범용)1kg,1kg*10,1,EA,17500,17500,0,17500,농산물류
2025-03-08,143748,역대짬뽕 장안본점(98),108230,@농산(양파*원망*특*국산)18~19kg,20kg내외/망,6,망,29600,177600,0,177600,농산물류
2025-03-08,143748,역대짬뽕 장안본점(98),116240,냉동다진생강(황보)1kg,1kg*10,10,EA,5300,53000,0,53000,농산물류
2025-03-08,143748,역대짬뽕 장안본점(98),108230,@농산(양파*원망*특*국산)18~19kg,20kg내외/망,-6,망,29600,-177600,0,-177600,농산물류
2025-03-11,143747,역대짬뽕 여수국동점(종료24.07),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2025-03-11,143744,역대짬뽕 천안SDI점(36)(종료25.09),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2025-03-12,143742,역대짬뽕 다산1호점(14),108253,@농산(쥬키니호박*특*국산)20개/BOX,(8kg)box,1,BOX,56300,56300,0,56300,농산물류
2025-03-12,143742,역대짬뽕 다산1호점(14),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2025-03-14,143744,역대짬뽕 천안SDI점(36)(종료25.09),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2025-03-15,143736,역대짬뽕 오산시청점(99)(종료25.04),116240,냉동다진생강(황보)1kg,1kg*10,3,EA,5300,15900,0,15900,농산물류
2025-03-15,143748,역대짬뽕 장안본점(98),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2025-03-15,143738,역대짬뽕병점점(99),140472,한잎목이버섯(중찬명가)1kg,1kg*10,2,EA,25000,50000,0,50000,농산물류
2025-03-17,143742,역대짬뽕 다산1호점(14),116240,냉동다진생강(황보)1kg,1kg*10,1,EA,5300,5300,0,5300,농산물류
2025-03-18,143744,역대짬뽕 천안SDI점(36)(종료25.09),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2025-03-18,143748,역대짬뽕 장안본점(98),140492,(쥬뗌)베트남사천고추(미래/역대짬뽕범용)1kg,1kg*10,1,EA,17500,17500,0,17500,농산물류
2025-03-19,143739,역대짬뽕 화성반월점(99),116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2025-03-20,143742,역대짬뽕 다산1호점(14),140812,통계피(청은)500g,500g*30,1,EA,3520,3200,320,3520,농산물류
