조회일자,주문코드,지점명,상품코드,상품명,규격,수량,단위,단가,공급가,부가세,합계,대분류
2025-01-02,143742,역대짬뽕 다산1호점(14),137788,냅킨(쉐프템/74매*80속/테이블)BOX,"5,920 매",1,BOX,12000,10909,1091,12000,용품류
2025-01-03,143737,역대짬뽕 송탄점(99),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10000,9091,909,10000,용품류
2025-01-04,143748,역대짬뽕 장안본점(98),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10000,9091,909,10000,용품류
2025-01-04,143748,역대짬뽕 장안본점(98),137788,냅킨(쉐프템/74매*80속/테이블)BOX,"5,920 매",1,BOX,12000,10909,1091,12000,용품류
2025-01-04,143748,역대짬뽕 장안본점(98),119478,물티슈(화미*롤)400개,400개입,1,BOX,9120,8291,829,9120,용품류
2025-01-04,143748,역대짬뽕 장안본점(98),131520,부탄(맥스*폭발방지CRV)4개/1줄,(220ml*4)*7,1,줄,4600,4182,418,4600,용품류
2025-01-06,143742,역대짬뽕 다산1호점(14),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10000,9091,909,10000,용품류
2025-01-07,143742,역대짬뽕 다산1호점(14),139811,니트릴장갑(아큐핏/검정/대/두꺼운/100매),100매*10,2,각,8000,14545,1455,16000,용품류
2025-01-07,143748,역대짬뽕 장안본점(98),119406,롤팩(다모아*小*25-35)500매,500매*12,2,EA,4780,8691,869,9560,용품류
2025-01-08,143748,역대짬뽕 장안본점(98),119407,롤팩(다모아*中*30-40)500매,500매*12,1,EA,6610,6009,601,6610,용품류
2025-01-09,143748,역대짬뽕 장안본점(98),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10000,9091,909,10000,용품류
2025-01-09,143748,역대짬뽕 장안본점(98),137788,냅킨(쉐프템/74매*80속/테이블)BOX,"5,920 매",1,BOX,12000,10909,1091,12000,용품류
2025-01-09,143748,역대짬뽕 장안본점(98),119398,랩(썬)45cm*500m,500m*4,4,EA,22800,82909,8291,91200,용품류
2025-01-09,143748,역대짬뽕 장안본점(98),119407,롤팩(다모아*中*30-40)500매,500매*12,6,EA,6610,36055,3605,39660,용품류
2025-01-11,143736,역대짬뽕 오산시청점(99)(종료25.04),137788,냅킨(쉐프템/74매*80속/테이블)BOX,"5,920 매",1,BOX,12000,10909,1091,12000,용품류
2025-01-11,143748,역대짬뽕 장안본점(98),135903,물비누(엘지/하이퐁)12kg,(11.8L)12kg,3,통,15500,42273,4227,46500,용품류
2025-01-13,143737,역대짬뽕 송탄점(99),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10000,9091,909,10000,용품류
2025-01-14,143748,역대짬뽕 장안본점(98),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10000,9091,909,10000,용품류
2025-01-14,143738,역대짬뽕병점점(99),140458,(쥬뗌)휴지(팜파스/점보롤/역대짬뽕범용/16롤)box,(16롤)box,1,BOX,46400,42182,4218,46400,용품류
2025-01-14,143738,역대짬뽕병점점(99),119394,락스(하이코리아*프레시)말통★13kg,13kg,1,통,4700,4273,427,4700,용품류
2025-01-16,143748,역대짬뽕 장안본점(98),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10000,9091,909,10000,용품류
2025-01-16,143748,역대짬뽕 장안본점(98),137788,냅킨(쉐프템/74매*80속/테이블)BOX,"5,920 매",1,BOX,12000,10909,1091,12000,용품류
2025-01-16,143748,역대짬뽕 장안본점(98),120682,물티슈(이지라이프/일회용)box,(100매*4)box,1,BOX,10500,9545,955,10500,용품류
2025-01-17,143742,역대짬뽕 다산1호점(14),139813,니트릴장갑(아큐핏/검정/소/두꺼운/100매),100매*10,2,각,7320,13309,1331,14640,용품류
2025-01-17,143737,역대짬뽕 송탄점(99),137788,냅킨(쉐프템/74매*80속/테이블)BOX,"5,920 매",1,BOX,12000,10909,1091,12000,용품류
2025-01-18,143748,역대짬뽕 장안본점(98),137788,냅킨(쉐프템/74매*80속/테이블)BOX,"5,920 매",1,BOX,12000,10909,1091,12000,용품류
2025-01-18,143748,역대짬뽕 장안본점(98),119478,물티슈(화미*롤)400개,400개입,1,BOX,9120,8291,829,9120,용품류
2025-01-18,143748,역대짬뽕 장안본점(98),121565,키친타올(월드/파로마)★153매*2롤/1팩,(150매*2)*12,12,EA,2050,22364,2236,24600,용품류
2025-01-20,143742,역대짬뽕 다산1호점(14),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10000,9091,909,10000,용품류
2025-01-20,143742,역대짬뽕 다산1호점(14),137788,냅킨(쉐프템/74매*80속/테이블)BOX,"5,920 매",1,BOX,12000,10909,1091,12000,용품류
2025-01-21,143736,역대짬뽕 오산시청점(99)(종료25.04),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10000,9091,909,10000,용품류
2025-01-21,143742,역대짬뽕 다산1호점(14),139811,니트릴장갑(아큐핏/검정/대/두꺼운/100매),100매*10,2,각,8000,14545,1455,16000,용품류
2025-01-21,143748,역대짬뽕 장안본점(98),105159,랩(썬)35cm*500m,35cm*500m*6,6,EA,17800,97091,9709,106800,용품류
2025-01-22,143737,역대짬뽕 송탄점(99),120682,물티슈(이지라이프/일회용)box,(100매*4)box,1,BOX,10500,9545,955,10500,용품류
2025-01-23,143748,역대짬뽕 장안본점(98),140497,(쥬뗌)위생팩小(미래/역대짬뽕범용)100EA,17*25*100EA,1,EA,900,818,82,900,용품류
2025-01-23,143748,역대짬뽕 장안본점(98),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10000,9091,909,10000,용품류
2025-01-24,143742,역대짬뽕 다산1호점(14),135903,물비누(엘지/하이퐁)12kg,(11.8L)12kg,2,통,15500,28182,2818,31000,용품류
2025-01-24,143742,역대짬뽕 다산1호점(14),119478,물티슈(화미*롤)400개,400개입,1,BOX,9120,8291,829,9120,용품류
2025-01-24,143737,역대짬뽕 송탄점(99),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10000,9091,909,10000,용품류
2025-01-24,143737,역대짬뽕 송탄점(99),137788,냅킨(쉐프템/74매*80속/테이블)BOX,"5,920 매",1,BOX,12000,10909,1091,12000,용품류
2025-01-24,143748,역대짬뽕 장안본점(98),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,2,BOX,10000,18182,1818,20000,용품류
2025-01-24,143748,역대짬뽕 장안본점(98),137788,냅킨(쉐프템/74매*80속/테이블)BOX,"5,920 매",1,BOX,12000,10909,1091,12000,용품류
2025-01-25,143748,역대짬뽕 장안본점(98),135903,물비누(엘지/하이퐁)12kg,(11.8L)12kg,3,통,15500,42273,4227,46500,용품류
