조회일자,주문코드,지점명,상품코드,상품명,규격,수량,단위,단가,공급가,부가세,합계,대분류
2025-01-02,143742,역대짬뽕 다산1호점(14),140426,(쥬뗌)간짜장소스(태영/역대짬뽕전용/1.8kg*5)BOX,(1.8kg*5)BOX,1,BOX,45000,40909,4091,45000,공산품류
2025-01-02,143742,역대짬뽕 다산1호점(14),140406,(쥬뗌)깐풍소스/칠리딥소스(금양/역대짬뽕전용)2kg,2kg*6,1,EA,12000,10909,1091,12000,공산품류
2025-01-02,143742,역대짬뽕 다산1호점(14),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,3,BOX,23300,69900,0,69900,수산물류
2025-01-02,143742,역대짬뽕 다산1호점(14),140415,(쥬뗌)돼지(돈후지/유슬/짬뽕용채/L/역대짬뽕전용)15kg,(5KG*3)BOX,1,BOX,100500,100500,0,100500,축산물류
2025-01-02,143742,역대짬뽕 다산1호점(14),140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),1,BOX,54600,49636,4964,54600,공산품류
2025-01-02,143742,역대짬뽕 다산1호점(14),140418,(쥬뗌)참깨향기름(고향식품/역대짬뽕전용)1.8L,1.8L*8,1,EA,12100,11000,1100,12100,공산품류
2025-01-02,143742,역대짬뽕 다산1호점(14),140726,(쥬뗌)칼집대왕오징어(빨강/역대짬뽕전용)4kg,4Kg,6,BOX,34030,204180,0,204180,수산물류
2025-01-02,143742,역대짬뽕 다산1호점(14),140490,감자전분(고성산업)20kg,20kg,2,포,48000,87273,8727,96000,공산품류
2025-01-02,143742,역대짬뽕 다산1호점(14),137788,냅킨(쉐프템/74매*80속/테이블)BOX,"5,920 매",1,BOX,12000,10909,1091,12000,용품류
2025-01-02,143742,역대짬뽕 다산1호점(14),116239,냉동다진마늘(황보/중국산/빨강)1kg,1kg*10,4,EA,2630,10520,0,10520,공산품류
2025-01-02,143742,역대짬뽕 다산1호점(14),119318,당면(KO/역대/중화)2kg,2kg*5,3,EA,7600,20727,2073,22800,공산품류
2025-01-02,143742,역대짬뽕 다산1호점(14),140754,삼각멘보샤(지엔씨푸드/역대/15g*16ea)240g,15g*16ea*20,10,EA,4200,38182,3818,42000,공산품류
2025-01-02,143742,역대짬뽕 다산1호점(14),116321,순두부(진선*콩:수입산)400g,400g*40,15,EA,564,8460,0,8460,공산품류
2025-01-02,143742,역대짬뽕 다산1호점(14),139913,쌀(농협.알찬/한토래/신동진/국내산)20kg,20kg/50포(판),2,포,51000,102000,0,102000,농산물류
2025-01-03,143742,역대짬뽕 다산1호점(14),140426,(쥬뗌)간짜장소스(태영/역대짬뽕전용/1.8kg*5)BOX,(1.8kg*5)BOX,2,BOX,45000,81818,8182,90000,공산품류
2025-01-03,143742,역대짬뽕 다산1호점(14),140645,(쥬뗌)냉동바지락살(역대짬뽕전용/중국산/10kg/과세)BOX,10kg,1,BOX,44500,40455,4045,44500,수산물류
2025-01-03,143742,역대짬뽕 다산1호점(14),140449,(쥬뗌)냉동쭈꾸미(6미/역대짬뽕전용/베트남/180g*12)BOX,(180g*12),1,BOX,23800,23800,0,23800,수산물류
2025-01-03,143742,역대짬뽕 다산1호점(14),140688,(쥬뗌)냉동홍합살(역대짬뽕전용/중국산/(5kg*2)10kg/과세)BOX,10kg,1,BOX,51700,47000,4700,51700,수산물류
2025-01-03,143742,역대짬뽕 다산1호점(14),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,1,BOX,23300,23300,0,23300,수산물류
2025-01-03,143742,역대짬뽕 다산1호점(14),140421,(쥬뗌)웰빙생단무지(그래도/반달채/역대짬뽕전용/2.5kg*4)BOX,(2.5kg*4),3,BOX,19500,58500,0,58500,공산품류
2025-01-03,143742,역대짬뽕 다산1호점(14),140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),2,BOX,54600,99273,9927,109200,공산품류
2025-01-03,143742,역대짬뽕 다산1호점(14),140726,(쥬뗌)칼집대왕오징어(빨강/역대짬뽕전용)4kg,4Kg,2,BOX,34030,68060,0,68060,수산물류
2025-01-03,143742,역대짬뽕 다산1호점(14),140115,깐메추리알(대림)1kg,1kg*10,5,EA,8670,39409,3941,43350,공산품류
2025-01-03,143742,역대짬뽕 다산1호점(14),140143,만두(담두/자만두)1.26kg,1.26kg*8,10,EA,6000,54545,5455,60000,공산품류
2025-01-03,143742,역대짬뽕 다산1호점(14),140754,삼각멘보샤(지엔씨푸드/역대/15g*16ea)240g,15g*16ea*20,8,EA,4200,30545,3055,33600,공산품류
2025-01-03,143742,역대짬뽕 다산1호점(14),116321,순두부(진선*콩:수입산)400g,400g*40,8,EA,564,4512,0,4512,공산품류
2025-01-03,143742,역대짬뽕 다산1호점(14),103348,포기김치(미도/중국산)10kg,(10kg)box,1,BOX,15700,15700,0,15700,공산품류
2025-01-03,143742,역대짬뽕 다산1호점(14),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2025-01-04,143742,역대짬뽕 다산1호점(14),140426,(쥬뗌)간짜장소스(태영/역대짬뽕전용/1.8kg*5)BOX,(1.8kg*5)BOX,4,BOX,45000,163636,16364,180000,공산품류
2025-01-04,143742,역대짬뽕 다산1호점(14),140447,(쥬뗌)냉동솔방울오징어(역대짬뽕전용/중국산)10kg,10kg,1,BOX,79000,79000,0,79000,수산물류
2025-01-04,143742,역대짬뽕 다산1호점(14),140449,(쥬뗌)냉동쭈꾸미(6미/역대짬뽕전용/베트남/180g*12)BOX,(180g*12),1,BOX,23800,23800,0,23800,수산물류
2025-01-04,143742,역대짬뽕 다산1호점(14),140414,(쥬뗌)돼지(돈등심/탕수육용/역대짬뽕전용)15kg,(5KG*3)BOX,2,BOX,139500,279000,0,279000,축산물류
2025-01-04,143742,역대짬뽕 다산1호점(14),140427,(쥬뗌)생새우살(71-91/역대짬뽕전용/중국산/9kg)BOX,9kg,1,BOX,131000,131000,0,131000,수산물류
2025-01-04,143742,역대짬뽕 다산1호점(14),140442,(쥬뗌)야채볶음밥(엄지/역대짬뽕전용/3kg*3)BOX,(3kg*3),1,BOX,45390,41264,4126,45390,공산품류
2025-01-04,143742,역대짬뽕 다산1호점(14),140478,(쥬뗌)원형지단(화산/풍림/역대짬뽕범용)900g,900g*10,1,EA,9800,8909,891,9800,공산품류
2025-01-04,143742,역대짬뽕 다산1호점(14),140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),6,BOX,54600,297818,29782,327600,공산품류
2025-01-04,143742,역대짬뽕 다산1호점(14),140143,만두(담두/자만두)1.26kg,1.26kg*8,12,EA,6000,65455,6545,72000,공산품류
2025-01-04,143742,역대짬뽕 다산1호점(14),116321,순두부(진선*콩:수입산)400g,400g*40,14,EA,564,7896,0,7896,공산품류
2025-01-06,143742,역대짬뽕 다산1호점(14),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,3,BOX,23300,69900,0,69900,수산물류
2025-01-06,143742,역대짬뽕 다산1호점(14),140414,(쥬뗌)돼지(돈등심/탕수육용/역대짬뽕전용)15kg,(5KG*3)BOX,2,BOX,139500,279000,0,279000,축산물류
2025-01-06,143742,역대짬뽕 다산1호점(14),140415,(쥬뗌)돼지(돈후지/유슬/짬뽕용채/L/역대짬뽕전용)15kg,(5KG*3)BOX,1,BOX,100500,100500,0,100500,축산물류
2025-01-06,143742,역대짬뽕 다산1호점(14),140416,(쥬뗌)돼지(돈후지/짜장/L/역대짬뽕전용)15kg,(5KG*3)BOX,1,BOX,100500,100500,0,100500,축산물류
2025-01-06,143742,역대짬뽕 다산1호점(14),140429,(쥬뗌)생강맛가루(승진/역대짬뽕전용)350g,350g*20,1,EA,11000,10000,1000,11000,공산품류
2025-01-06,143742,역대짬뽕 다산1호점(14),140432,(쥬뗌)아주존백후추(승진/역대짬뽕전용)400g,400g*20,2,EA,10500,19091,1909,21000,공산품류
2025-01-06,143742,역대짬뽕 다산1호점(14),140762,(쥬뗌)아주존순흑후추(승진/면세/역대짬뽕전용)400g,400g*20,2,EA,9000,18000,0,18000,공산품류
2025-01-06,143742,역대짬뽕 다산1호점(14),140478,(쥬뗌)원형지단(화산/풍림/역대짬뽕범용)900g,900g*10,1,EA,9800,8909,891,9800,공산품류
2025-01-06,143742,역대짬뽕 다산1호점(14),140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),2,BOX,54600,99273,9927,109200,공산품류
2025-01-06,143742,역대짬뽕 다산1호점(14),140419,(쥬뗌)짬뽕소스(대원/역대짬뽕전용/묶음재료/자품/9.65kg)BOX,9.65kg,1,BOX,92000,83636,8364,92000,공산품류
2025-01-06,143742,역대짬뽕 다산1호점(14),140418,(쥬뗌)참깨향기름(고향식품/역대짬뽕전용)1.8L,1.8L*8,1,EA,12100,11000,1100,12100,공산품류
2025-01-06,143742,역대짬뽕 다산1호점(14),140726,(쥬뗌)칼집대왕오징어(빨강/역대짬뽕전용)4kg,4Kg,6,BOX,34030,204180,0,204180,수산물류
2025-01-06,143742,역대짬뽕 다산1호점(14),104522,@시장(굴소스*이금기*프리미엄)510g,510g*12,1,EA,9990,9082,908,9990,공산품류
2025-01-06,143742,역대짬뽕 다산1호점(14),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10000,9091,909,10000,용품류
2025-01-06,143742,역대짬뽕 다산1호점(14),140143,만두(담두/자만두)1.26kg,1.26kg*8,8,EA,6000,43636,4364,48000,공산품류
2025-01-06,143742,역대짬뽕 다산1호점(14),140754,삼각멘보샤(지엔씨푸드/역대/15g*16ea)240g,15g*16ea*20,12,EA,4200,45818,4582,50400,공산품류
2025-01-06,143742,역대짬뽕 다산1호점(14),116321,순두부(진선*콩:수입산)400g,400g*40,9,EA,564,5076,0,5076,공산품류
2025-01-07,143742,역대짬뽕 다산1호점(14),140414,(쥬뗌)돼지(돈등심/탕수육용/역대짬뽕전용)15kg,(5KG*3)BOX,2,BOX,139500,279000,0,279000,축산물류
2025-01-07,143742,역대짬뽕 다산1호점(14),140415,(쥬뗌)돼지(돈후지/유슬/짬뽕용채/L/역대짬뽕전용)15kg,(5KG*3)BOX,1,BOX,100500,100500,0,100500,축산물류
2025-01-07,143742,역대짬뽕 다산1호점(14),140439,(쥬뗌)또또단무지(그래도/역대짬뽕전용/150g*80)BOX,(150g*80),8,BOX,28000,224000,0,224000,공산품류
2025-01-07,143742,역대짬뽕 다산1호점(14),140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),2,BOX,54600,99273,9927,109200,공산품류
2025-01-07,143742,역대짬뽕 다산1호점(14),140419,(쥬뗌)짬뽕소스(대원/역대짬뽕전용/묶음재료/자품/9.65kg)BOX,9.65kg,1,BOX,92000,83636,8364,92000,공산품류
2025-01-07,143742,역대짬뽕 다산1호점(14),140418,(쥬뗌)참깨향기름(고향식품/역대짬뽕전용)1.8L,1.8L*8,1,EA,12100,11000,1100,12100,공산품류
2025-01-07,143742,역대짬뽕 다산1호점(14),139811,니트릴장갑(아큐핏/검정/대/두꺼운/100매),100매*10,2,각,8000,14545,1455,16000,용품류
2025-01-07,143742,역대짬뽕 다산1호점(14),140143,만두(담두/자만두)1.26kg,1.26kg*8,8,EA,6000,43636,4364,48000,공산품류
2025-01-07,143742,역대짬뽕 다산1호점(14),140754,삼각멘보샤(지엔씨푸드/역대/15g*16ea)240g,15g*16ea*20,8,EA,4200,30545,3055,33600,공산품류
2025-01-07,143742,역대짬뽕 다산1호점(14),116321,순두부(진선*콩:수입산)400g,400g*40,6,EA,564,3384,0,3384,공산품류
2025-01-08,143742,역대짬뽕 다산1호점(14),140645,(쥬뗌)냉동바지락살(역대짬뽕전용/중국산/10kg/과세)BOX,10kg,1,BOX,44500,40455,4045,44500,수산물류
2025-01-08,143742,역대짬뽕 다산1호점(14),140688,(쥬뗌)냉동홍합살(역대짬뽕전용/중국산/(5kg*2)10kg/과세)BOX,10kg,1,BOX,51700,47000,4700,51700,수산물류
2025-01-08,143742,역대짬뽕 다산1호점(14),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,3,BOX,23300,69900,0,69900,수산물류
2025-01-08,143742,역대짬뽕 다산1호점(14),140442,(쥬뗌)야채볶음밥(엄지/역대짬뽕전용/3kg*3)BOX,(3kg*3),2,BOX,45390,82527,8253,90780,공산품류
2025-01-08,143742,역대짬뽕 다산1호점(14),140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),2,BOX,54600,99273,9927,109200,공산품류
2025-01-08,143742,역대짬뽕 다산1호점(14),140726,(쥬뗌)칼집대왕오징어(빨강/역대짬뽕전용)4kg,4Kg,6,BOX,34030,204180,0,204180,수산물류
2025-01-08,143742,역대짬뽕 다산1호점(14),140490,감자전분(고성산업)20kg,20kg,1,포,48000,43636,4364,48000,공산품류
2025-01-08,143742,역대짬뽕 다산1호점(14),140754,삼각멘보샤(지엔씨푸드/역대/15g*16ea)240g,15g*16ea*20,6,EA,4200,22909,2291,25200,공산품류
