조회일자,주문코드,지점명,상품코드,상품명,규격,수량,단위,단가,공급가,부가세,합계,대분류
2025-01-03,143737,역대짬뽕 송탄점(99),140425,(쥬뗌)갑오징어(역대짬뽕전용/베트남산/180g*12)BOX,(180g*12),1,BOX,23000,23000,0,23000,수산물류
2025-01-03,143737,역대짬뽕 송탄점(99),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,2,BOX,23300,46600,0,46600,수산물류
2025-01-03,143737,역대짬뽕 송탄점(99),140444,(쥬뗌)데리야끼소스(태영/역대짬뽕전용)5kg,5kg,1,EA,30000,27273,2727,30000,공산품류
2025-01-03,143737,역대짬뽕 송탄점(99),140439,(쥬뗌)또또단무지(그래도/역대짬뽕전용/150g*80)BOX,(150g*80),1,BOX,32000,32000,0,32000,공산품류
2025-01-03,143737,역대짬뽕 송탄점(99),140432,(쥬뗌)아주존백후추(승진/역대짬뽕전용)400g,400g*20,4,EA,10500,38182,3818,42000,공산품류
2025-01-03,143737,역대짬뽕 송탄점(99),140762,(쥬뗌)아주존순흑후추(승진/면세/역대짬뽕전용)400g,400g*20,1,EA,9000,9000,0,9000,공산품류
2025-01-03,143737,역대짬뽕 송탄점(99),140421,(쥬뗌)웰빙생단무지(그래도/반달채/역대짬뽕전용/2.5kg*4)BOX,(2.5kg*4),2,BOX,27000,54000,0,54000,공산품류
2025-01-03,143737,역대짬뽕 송탄점(99),140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),4,BOX,54600,198545,19855,218400,공산품류
2025-01-03,143737,역대짬뽕 송탄점(99),140419,(쥬뗌)짬뽕소스(대원/역대짬뽕전용/묶음재료/자품/9.65kg)BOX,9.65kg,1,BOX,95000,86364,8636,95000,공산품류
2025-01-03,143737,역대짬뽕 송탄점(99),140726,(쥬뗌)칼집대왕오징어(빨강/역대짬뽕전용)4kg,4Kg,4,BOX,34030,136120,0,136120,수산물류
2025-01-03,143737,역대짬뽕 송탄점(99),133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10000,9091,909,10000,용품류
2025-01-03,143737,역대짬뽕 송탄점(99),140490,감자전분(고성산업)20kg,20kg,1,포,48000,43636,4364,48000,공산품류
2025-01-03,143737,역대짬뽕 송탄점(99),140143,만두(담두/자만두)1.26kg,1.26kg*8,4,EA,6000,21818,2182,24000,공산품류
2025-01-03,143737,역대짬뽕 송탄점(99),116321,순두부(진선*콩:수입산)400g,400g*40,5,EA,564,2820,0,2820,공산품류
2025-01-03,143737,역대짬뽕 송탄점(99),104128,완두콩(삼아/캔/小)400g,400g*24,2,EA,1200,2182,218,2400,공산품류
2025-01-03,143737,역대짬뽕 송탄점(99),140503,춘장(중찬명가/홀)2.5kg,2.5kg*4,1,팩,6850,6227,623,6850,공산품류
2025-01-03,143737,역대짬뽕 송탄점(99),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2025-01-06,143737,역대짬뽕 송탄점(99),140406,(쥬뗌)깐풍소스/칠리딥소스(금양/역대짬뽕전용)2kg,2kg*6,2,EA,19500,35455,3545,39000,공산품류
2025-01-06,143737,역대짬뽕 송탄점(99),140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),3,BOX,54600,148909,14891,163800,공산품류
2025-01-06,143737,역대짬뽕 송탄점(99),140451,(쥬뗌)통루비해삼(역대짬뽕전용/필리핀)650g,650g*12,2,EA,21250,38636,3864,42500,수산물류
2025-01-06,143737,역대짬뽕 송탄점(99),121652,"혼합야채(글로벌/4종/당근,완두,옥수수,그린빈스)1kg",1kg*10,1,EA,3170,2882,288,3170,공산품류
2025-01-06,143737,역대짬뽕 송탄점(99),135849,흰설탕(대한제당/정백/푸드림/하얀)15kg,15kg,1,포,23600,21455,2145,23600,공산품류
2025-01-08,143737,역대짬뽕 송탄점(99),140645,(쥬뗌)냉동바지락살(역대짬뽕전용/중국산/10kg/과세)BOX,10kg,1,BOX,44500,40455,4045,44500,수산물류
2025-01-08,143737,역대짬뽕 송탄점(99),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,1,BOX,23300,23300,0,23300,수산물류
2025-01-08,143737,역대짬뽕 송탄점(99),140444,(쥬뗌)데리야끼소스(태영/역대짬뽕전용)5kg,5kg,1,EA,30000,27273,2727,30000,공산품류
2025-01-08,143737,역대짬뽕 송탄점(99),140421,(쥬뗌)웰빙생단무지(그래도/반달채/역대짬뽕전용/2.5kg*4)BOX,(2.5kg*4),1,BOX,27000,27000,0,27000,공산품류
2025-01-08,143737,역대짬뽕 송탄점(99),140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),1,BOX,54600,49636,4964,54600,공산품류
2025-01-08,143737,역대짬뽕 송탄점(99),140726,(쥬뗌)칼집대왕오징어(빨강/역대짬뽕전용)4kg,4Kg,2,BOX,34030,68060,0,68060,수산물류
2025-01-10,143737,역대짬뽕 송탄점(99),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,2,BOX,23300,46600,0,46600,수산물류
2025-01-10,143737,역대짬뽕 송탄점(99),140439,(쥬뗌)또또단무지(그래도/역대짬뽕전용/150g*80)BOX,(150g*80),1,BOX,32000,32000,0,32000,공산품류
2025-01-10,143737,역대짬뽕 송탄점(99),140478,(쥬뗌)원형지단(화산/풍림/역대짬뽕범용)900g,900g*10,1,EA,9800,8909,891,9800,공산품류
2025-01-10,143737,역대짬뽕 송탄점(99),140421,(쥬뗌)웰빙생단무지(그래도/반달채/역대짬뽕전용/2.5kg*4)BOX,(2.5kg*4),1,BOX,27000,27000,0,27000,공산품류
2025-01-10,143737,역대짬뽕 송탄점(99),140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),3,BOX,54600,148909,14891,163800,공산품류
2025-01-10,143737,역대짬뽕 송탄점(99),140419,(쥬뗌)짬뽕소스(대원/역대짬뽕전용/묶음재료/자품/9.65kg)BOX,9.65kg,1,BOX,95000,86364,8636,95000,공산품류
2025-01-10,143737,역대짬뽕 송탄점(99),140726,(쥬뗌)칼집대왕오징어(빨강/역대짬뽕전용)4kg,4Kg,4,BOX,34030,136120,0,136120,수산물류
2025-01-10,143737,역대짬뽕 송탄점(99),116240,냉동다진생강(황보)1kg,1kg*10,1,EA,5300,5300,0,5300,농산물류
2025-01-10,143737,역대짬뽕 송탄점(99),140143,만두(담두/자만두)1.26kg,1.26kg*8,4,EA,6000,21818,2182,24000,공산품류
2025-01-10,143737,역대짬뽕 송탄점(99),116321,순두부(진선*콩:수입산)400g,400g*40,5,EA,564,2820,0,2820,공산품류
2025-01-10,143737,역대짬뽕 송탄점(99),105902,식초(롯데*환만*말)15L,15L,1,통,18700,17000,1700,18700,공산품류
