조회일자,주문코드,지점명,상품코드,상품명,규격,수량,단위,단가,공급가,부가세,합계,대분류
2025-10-23,144176,역대짬뽕 송파점(95),139324,(면세)간장(마산명산/몽고/진)13L,13L,1,통,22600,22600,0,22600,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140426,(쥬뗌)간짜장소스(태영/역대짬뽕전용/1.8kg*5)BOX,(1.8kg*5)BOX,2,BOX,80000,145455,14545,160000,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140441,(쥬뗌)건해삼채(하오/역대짬뽕전용)600g,600g*12,1,팩,79030,71845,7185,79030,수산물류
2025-10-23,144176,역대짬뽕 송파점(95),140440,(쥬뗌)게살볶음밥(엄지/역대짬뽕전용/3kg*3)BOX,(3kg*3),1,BOX,68490,62264,6226,68490,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140424,(쥬뗌)고춧가루(조은/고운/역대짬뽕전용/20kg)BOX,20KG,1,BOX,290000,290000,0,290000,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140430,(쥬뗌)고춧가루(조은/굵은/중국산/#8/역대짬뽕전용)1KG,1kg*20,1,EA,10500,10500,0,10500,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140406,(쥬뗌)깐풍소스/칠리딥소스(금양/역대짬뽕전용)2kg,2kg*6,3,EA,12000,32727,3273,36000,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140645,(쥬뗌)냉동바지락살(역대짬뽕전용/중국산/10kg/과세)BOX,10kg,1,BOX,44500,40455,4045,44500,수산물류
2025-10-23,144176,역대짬뽕 송파점(95),140447,(쥬뗌)냉동솔방울오징어(역대짬뽕전용/중국산)10kg,10kg,1,BOX,79000,79000,0,79000,수산물류
2025-10-23,144176,역대짬뽕 송파점(95),140449,(쥬뗌)냉동쭈꾸미(6미/역대짬뽕전용/베트남/180g*12)BOX,(180g*12),2,BOX,32000,64000,0,64000,수산물류
2025-10-23,144176,역대짬뽕 송파점(95),140433,(쥬뗌)냉동홍합살(역대짬뽕전용/중국산/면세/10kg)BOX,10kg,1,BOX,67100,67100,0,67100,수산물류
2025-10-23,144176,역대짬뽕 송파점(95),140422,(쥬뗌)닭정육(브라질산/그래도/깐풍기용/역대짬뽕전용)5.5kg,5.5kg*3,4,팩,58850,235400,0,235400,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140801,(쥬뗌)대왕오징어귀채(노랑/역대짬뽕전용/칠레산)5kg,5kg,3,BOX,44100,132300,0,132300,수산물류
2025-10-23,144176,역대짬뽕 송파점(95),140444,(쥬뗌)데리야끼소스(태영/역대짬뽕전용)5kg,5kg,3,EA,28000,76364,7636,84000,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140415,(쥬뗌)돼지(돈후지/유슬/짬뽕용채/L/역대짬뽕전용)15kg,(5KG*3)BOX,2,BOX,110000,220000,0,220000,축산물류
2025-10-23,144176,역대짬뽕 송파점(95),140416,(쥬뗌)돼지(돈후지/짜장/L/역대짬뽕전용)15kg,(5KG*3)BOX,1,BOX,110000,110000,0,110000,축산물류
2025-10-23,144176,역대짬뽕 송파점(95),141093,(쥬뗌)돼지(돈후지/탕수육용/역대짬뽕전용)15kg,(5KG*3)BOX,3,BOX,110000,330000,0,330000,축산물류
2025-10-23,144176,역대짬뽕 송파점(95),140439,(쥬뗌)또또단무지(그래도/역대짬뽕전용/150g*80)BOX,(150g*80),2,BOX,28000,56000,0,56000,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140450,(쥬뗌)매운단계소스(인도산/역대짬뽕전용)300g,300g*15,2,EA,30000,54545,5455,60000,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140431,(쥬뗌)매운짜장고춧가루(조은/고운/베트남/역대짬뽕전용)1KG,1kg*20,1,EA,20000,20000,0,20000,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140407,(쥬뗌)물결파우더(금양/역대짬뽕전용)5kg,5kg*2,1,EA,18500,16818,1682,18500,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140429,(쥬뗌)생강맛가루(승진/역대짬뽕전용)350g,350g*20,3,EA,11000,30000,3000,33000,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140427,(쥬뗌)생새우살(71-91/역대짬뽕전용/중국산/9kg)BOX,9kg,1,BOX,131000,131000,0,131000,수산물류
2025-10-23,144176,역대짬뽕 송파점(95),140506,(쥬뗌)순계피(승진)200g,200g*50,2,EA,3000,5455,545,6000,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140432,(쥬뗌)아주존백후추(승진/역대짬뽕전용)400g,400g*20,4,EA,10820,39345,3935,43280,공산품류
2025-10-23,144176,역대짬뽕 송파점(95),140434,(쥬뗌)아주존생겨자(승진/역대짬뽕전용)200g,200g*40,2,EA,3270,5945,595,6540,공산품류
