조회일자,주문코드,지점명,상품코드,상품명,규격,수량,단위,단가,공급가,부가세,합계,대분류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),139324,(면세)간장(마산명산/몽고/진)13L,13L,1,통,22400,22400,0,22400,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140426,(쥬뗌)간짜장소스(태영/역대짬뽕전용/1.8kg*5)BOX,(1.8kg*5)BOX,1,BOX,99999,90908,9091,99999,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140424,(쥬뗌)고춧가루(조은/고운/역대짬뽕전용/20kg)BOX,20KG,1,BOX,320000,320000,0,320000,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140406,(쥬뗌)깐풍소스/칠리딥소스(금양/역대짬뽕전용)2kg,2kg*6,1,EA,19500,17727,1773,19500,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140645,(쥬뗌)냉동바지락살(역대짬뽕전용/중국산/10kg/과세)BOX,10kg,1,BOX,44500,40455,4045,44500,수산물류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140447,(쥬뗌)냉동솔방울오징어(역대짬뽕전용/중국산)10kg,10kg,1,BOX,79000,79000,0,79000,수산물류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140449,(쥬뗌)냉동쭈꾸미(6미/역대짬뽕전용/베트남/180g*12)BOX,(180g*12),1,BOX,23800,23800,0,23800,수산물류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140688,(쥬뗌)냉동홍합살(역대짬뽕전용/중국산/(5kg*2)10kg/과세)BOX,10kg,1,BOX,67100,61000,6100,67100,수산물류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140422,(쥬뗌)닭정육(브라질산/그래도/깐풍기용/역대짬뽕전용)5.5kg,5.5kg*3,1,팩,47300,47300,0,47300,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,1,BOX,33530,33530,0,33530,수산물류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140438,(쥬뗌)대왕오징어몸채(노랑/역대짬뽕전용/칠레산)4kg,4kg,1,BOX,31800,31800,0,31800,수산물류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140444,(쥬뗌)데리야끼소스(태영/역대짬뽕전용)5kg,5kg,1,EA,30000,27273,2727,30000,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140439,(쥬뗌)또또단무지(그래도/역대짬뽕전용/150g*80)BOX,(150g*80),1,BOX,32800,32800,0,32800,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140450,(쥬뗌)매운단계소스(인도산/역대짬뽕전용)300g,300g*15,1,EA,47300,43000,4300,47300,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140421,(쥬뗌)웰빙생단무지(그래도/반달채/역대짬뽕전용/2.5kg*4)BOX,(2.5kg*4),2,BOX,27800,55600,0,55600,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140408,(쥬뗌)유크림소스(S)(금양/역대짬뽕전용)2kg,2kg*6,1,EA,19500,17727,1773,19500,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),4,BOX,61600,224000,22400,246400,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140419,(쥬뗌)짬뽕소스(대원/역대짬뽕전용/묶음재료/자품/9.65kg)BOX,9.65kg,1,BOX,132000,120000,12000,132000,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140423,(쥬뗌)핵산아이지(대원/역대짬뽕전용/6kg*2)BOX,(6kg*2),1,BOX,82500,75000,7500,82500,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140490,감자전분(고성산업)20kg,20kg,1,포,48000,43636,4364,48000,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140115,깐메추리알(대림)1kg,1kg*10,2,EA,8670,15764,1576,17340,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),116239,냉동다진마늘(황보/중국산/빨강)1kg,1kg*10,1,EA,2630,2630,0,2630,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),116240,냉동다진생강(황보)1kg,1kg*10,1,EA,5300,5300,0,5300,농산물류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),119318,당면(KO/역대/중화)2kg,2kg*5,1,EA,7600,6909,691,7600,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),139766,돈지(프로쉐프/중화유/라드/돈지97%)13kg,13kg,1,EA,48500,44091,4409,48500,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140143,만두(담두/자만두)1.26kg,1.26kg*8,4,EA,6000,21818,2182,24000,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),116321,순두부(진선*콩:수입산)400g,400g*40,10,EA,564,5640,0,5640,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),104128,완두콩(삼아/캔/小)400g,400g*24,2,EA,1200,2182,218,2400,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140503,춘장(중찬명가/홀)2.5kg,2.5kg*4,2,팩,6850,12455,1245,13700,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),103348,포기김치(미도/중국산)10kg,(10kg)box,1,BOX,15700,15700,0,15700,공산품류
2025-03-04,143747,역대짬뽕 여수국동점(종료24.07),140422,(쥬뗌)닭정육(브라질산/그래도/깐풍기용/역대짬뽕전용)5.5kg,5.5kg*3,-1,팩,47300,-47300,0,-47300,공산품류
2025-03-11,143747,역대짬뽕 여수국동점(종료24.07),140426,(쥬뗌)간짜장소스(태영/역대짬뽕전용/1.8kg*5)BOX,(1.8kg*5)BOX,1,BOX,99999,90908,9091,99999,공산품류
2025-03-11,143747,역대짬뽕 여수국동점(종료24.07),140440,(쥬뗌)게살볶음밥(엄지/역대짬뽕전용/3kg*3)BOX,(3kg*3),1,BOX,68490,62264,6226,68490,공산품류
2025-03-11,143747,역대짬뽕 여수국동점(종료24.07),140422,(쥬뗌)닭정육(브라질산/그래도/깐풍기용/역대짬뽕전용)5.5kg,5.5kg*3,1,팩,47300,47300,0,47300,공산품류
2025-03-11,143747,역대짬뽕 여수국동점(종료24.07),140439,(쥬뗌)또또단무지(그래도/역대짬뽕전용/150g*80)BOX,(150g*80),2,BOX,32800,65600,0,65600,공산품류
2025-03-11,143747,역대짬뽕 여수국동점(종료24.07),140427,(쥬뗌)생새우살(71-91/역대짬뽕전용/중국산/9kg)BOX,9kg,1,BOX,131000,131000,0,131000,수산물류
2025-03-11,143747,역대짬뽕 여수국동점(종료24.07),140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),3,BOX,61600,168000,16800,184800,공산품류
2025-03-11,143747,역대짬뽕 여수국동점(종료24.07),140428,(쥬뗌)흰다리새우살(31-40/역대/베트남)900g,900g*10,1,EA,17630,17630,0,17630,수산물류
2025-03-11,143747,역대짬뽕 여수국동점(종료24.07),140143,만두(담두/자만두)1.26kg,1.26kg*8,6,EA,6000,32727,3273,36000,공산품류
2025-03-11,143747,역대짬뽕 여수국동점(종료24.07),140575,삼각멘보샤(지엔씨푸드/역대/15g*40ea)600g,15g*40ea*10pk,2,EA,10700,19455,1945,21400,공산품류
2025-03-11,143747,역대짬뽕 여수국동점(종료24.07),140472,한잎목이버섯(중찬명가)1kg,1kg*10,1,EA,25000,25000,0,25000,농산물류
2025-03-18,143747,역대짬뽕 여수국동점(종료24.07),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,1,BOX,33530,33530,0,33530,수산물류
2025-03-18,143747,역대짬뽕 여수국동점(종료24.07),140438,(쥬뗌)대왕오징어몸채(노랑/역대짬뽕전용/칠레산)4kg,4kg,1,BOX,31800,31800,0,31800,수산물류
2025-03-18,143747,역대짬뽕 여수국동점(종료24.07),140439,(쥬뗌)또또단무지(그래도/역대짬뽕전용/150g*80)BOX,(150g*80),2,BOX,32800,65600,0,65600,공산품류
2025-03-18,143747,역대짬뽕 여수국동점(종료24.07),140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),2,BOX,61600,112000,11200,123200,공산품류
2025-03-18,143747,역대짬뽕 여수국동점(종료24.07),119318,당면(KO/역대/중화)2kg,2kg*5,1,EA,7600,6909,691,7600,공산품류
2025-03-18,143747,역대짬뽕 여수국동점(종료24.07),140143,만두(담두/자만두)1.26kg,1.26kg*8,5,EA,6000,27273,2727,30000,공산품류
