조회일자,주문코드,지점명,상품코드,상품명,규격,수량,단위,단가,공급가,부가세,합계,대분류
2025-01-07,143744,역대짬뽕 천안SDI점(36)(종료25.09),140424,(쥬뗌)고춧가루(조은/고운/역대짬뽕전용/20kg)BOX,20KG,1,BOX,320000,320000,0,320000,공산품류
2025-01-07,143744,역대짬뽕 천안SDI점(36)(종료25.09),140645,(쥬뗌)냉동바지락살(역대짬뽕전용/중국산/10kg/과세)BOX,10kg,1,BOX,44500,40455,4045,44500,수산물류
2025-01-07,143744,역대짬뽕 천안SDI점(36)(종료25.09),140688,(쥬뗌)냉동홍합살(역대짬뽕전용/중국산/(5kg*2)10kg/과세)BOX,10kg,1,BOX,51700,47000,4700,51700,수산물류
2025-01-07,143744,역대짬뽕 천안SDI점(36)(종료25.09),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,10,BOX,23300,233000,0,233000,수산물류
2025-01-07,143744,역대짬뽕 천안SDI점(36)(종료25.09),140414,(쥬뗌)돼지(돈등심/탕수육용/역대짬뽕전용)15kg,(5KG*3)BOX,1,BOX,139500,139500,0,139500,축산물류
2025-01-07,143744,역대짬뽕 천안SDI점(36)(종료25.09),140415,(쥬뗌)돼지(돈후지/유슬/짬뽕용채/L/역대짬뽕전용)15kg,(5KG*3)BOX,3,BOX,100500,301500,0,301500,축산물류
2025-01-07,143744,역대짬뽕 천안SDI점(36)(종료25.09),140416,(쥬뗌)돼지(돈후지/짜장/L/역대짬뽕전용)15kg,(5KG*3)BOX,1,BOX,100500,100500,0,100500,축산물류
2025-01-07,143744,역대짬뽕 천안SDI점(36)(종료25.09),140442,(쥬뗌)야채볶음밥(엄지/역대짬뽕전용/3kg*3)BOX,(3kg*3),1,BOX,45390,41264,4126,45390,공산품류
2025-01-07,143744,역대짬뽕 천안SDI점(36)(종료25.09),140421,(쥬뗌)웰빙생단무지(그래도/반달채/역대짬뽕전용/2.5kg*4)BOX,(2.5kg*4),3,BOX,27000,81000,0,81000,공산품류
2025-01-07,143744,역대짬뽕 천안SDI점(36)(종료25.09),140419,(쥬뗌)짬뽕소스(대원/역대짬뽕전용/묶음재료/자품/9.65kg)BOX,9.65kg,1,BOX,130000,118182,11818,130000,공산품류
2025-01-07,143744,역대짬뽕 천안SDI점(36)(종료25.09),140490,감자전분(고성산업)20kg,20kg,1,포,48000,43636,4364,48000,공산품류
2025-01-10,143744,역대짬뽕 천안SDI점(36)(종료25.09),140426,(쥬뗌)간짜장소스(태영/역대짬뽕전용/1.8kg*5)BOX,(1.8kg*5)BOX,1,BOX,99999,90908,9091,99999,공산품류
2025-01-10,143744,역대짬뽕 천안SDI점(36)(종료25.09),140645,(쥬뗌)냉동바지락살(역대짬뽕전용/중국산/10kg/과세)BOX,10kg,1,BOX,44500,40455,4045,44500,수산물류
2025-01-10,143744,역대짬뽕 천안SDI점(36)(종료25.09),140688,(쥬뗌)냉동홍합살(역대짬뽕전용/중국산/(5kg*2)10kg/과세)BOX,10kg,1,BOX,51700,47000,4700,51700,수산물류
2025-01-10,143744,역대짬뽕 천안SDI점(36)(종료25.09),134962,(쥬뗌)대왕오징어귀채(투명/역대짬뽕전용/칠레산)4kg,4Kg,5,BOX,23300,116500,0,116500,수산물류
2025-01-10,143744,역대짬뽕 천안SDI점(36)(종료25.09),140414,(쥬뗌)돼지(돈등심/탕수육용/역대짬뽕전용)15kg,(5KG*3)BOX,1,BOX,139500,139500,0,139500,축산물류
2025-01-10,143744,역대짬뽕 천안SDI점(36)(종료25.09),140415,(쥬뗌)돼지(돈후지/유슬/짬뽕용채/L/역대짬뽕전용)15kg,(5KG*3)BOX,1,BOX,100500,100500,0,100500,축산물류
2025-01-10,143744,역대짬뽕 천안SDI점(36)(종료25.09),140416,(쥬뗌)돼지(돈후지/짜장/L/역대짬뽕전용)15kg,(5KG*3)BOX,1,BOX,100500,100500,0,100500,축산물류
2025-01-10,143744,역대짬뽕 천안SDI점(36)(종료25.09),140431,(쥬뗌)매운짜장고춧가루(조은/고운/베트남/역대짬뽕전용)1KG,1kg*20,1,EA,20000,20000,0,20000,공산품류
2025-01-10,143744,역대짬뽕 천안SDI점(36)(종료25.09),140421,(쥬뗌)웰빙생단무지(그래도/반달채/역대짬뽕전용/2.5kg*4)BOX,(2.5kg*4),3,BOX,27000,81000,0,81000,공산품류
2025-01-10,143744,역대짬뽕 천안SDI점(36)(종료25.09),140419,(쥬뗌)짬뽕소스(대원/역대짬뽕전용/묶음재료/자품/9.65kg)BOX,9.65kg,1,BOX,130000,118182,11818,130000,공산품류
