조회일자,주문코드,지점명,상품코드,상품명,규격,수량,단위,단가,공급가,부가세,합계,대분류
2025-04-18,143987,역대짬뽕(화목토)(99)新오산시청점,140422,(쥬뗌)닭정육(브라질산/그래도/깐풍기용/역대짬뽕전용)5.5kg,5.5kg*3,3,팩,47300,141900,0,141900,공산품류
2025-04-19,143987,역대짬뽕(화목토)(99)新오산시청점,140426,(쥬뗌)간짜장소스(태영/역대짬뽕전용/1.8kg*5)BOX,(1.8kg*5)BOX,2,BOX,45000,81818,8182,90000,공산품류
2025-04-19,143987,역대짬뽕(화목토)(99)新오산시청점,140406,(쥬뗌)깐풍소스/칠리딥소스(금양/역대짬뽕전용)2kg,2kg*6,1,EA,12000,10909,1091,12000,공산품류
2025-04-19,143987,역대짬뽕(화목토)(99)新오산시청점,140645,(쥬뗌)냉동바지락살(역대짬뽕전용/중국산/10kg/과세)BOX,10kg,1,BOX,44500,40455,4045,44500,수산물류
2025-04-19,143987,역대짬뽕(화목토)(99)新오산시청점,140409,(쥬뗌)냉면육수(박스/농우/역대짬뽕전용/350*30)box,(350g*30),10,BOX,693,6300,630,6930,공산품류
2025-04-19,143987,역대짬뽕(화목토)(99)新오산시청점,140801,(쥬뗌)대왕오징어귀채(노랑/역대짬뽕전용/칠레산)5kg,5kg,1,BOX,44100,44100,0,44100,수산물류
2025-04-19,143987,역대짬뽕(화목토)(99)新오산시청점,140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),4,BOX,58000,210909,21091,232000,공산품류
2025-04-19,143987,역대짬뽕(화목토)(99)新오산시청점,140411,(쥬뗌)중화면(얇은면/밀면/소면/역대짬뽕전용/1kg*10)box,(1kg*10),1,BOX,44000,40000,4000,44000,공산품류
2025-04-19,143987,역대짬뽕(화목토)(99)新오산시청점,140437,(쥬뗌)칼집대왕오징어몸채(빨강/역대짬뽕전용)5kg,5Kg,1,BOX,49100,49100,0,49100,수산물류
2025-04-19,143987,역대짬뽕(화목토)(99)新오산시청점,104537,굴소스(오뚜기/이금기/팬더)2.27kg,2.27kg*6,1,EA,12600,11455,1145,12600,공산품류
2025-04-19,143987,역대짬뽕(화목토)(99)新오산시청점,140115,깐메추리알(대림)1kg,1kg*10,1,EA,8670,7882,788,8670,공산품류
2025-04-19,143987,역대짬뽕(화목토)(99)新오산시청점,116239,냉동다진마늘(황보/중국산/빨강)1kg,1kg*10,5,EA,2630,13150,0,13150,공산품류
2025-04-19,143987,역대짬뽕(화목토)(99)新오산시청점,140143,만두(담두/자만두)1.26kg,1.26kg*8,8,EA,6000,43636,4364,48000,공산품류
2025-04-19,143987,역대짬뽕(화목토)(99)新오산시청점,116321,순두부(진선*콩:수입산)400g,400g*40,5,EA,564,2820,0,2820,공산품류
2025-04-22,143987,역대짬뽕(화목토)(99)新오산시청점,140444,(쥬뗌)데리야끼소스(태영/역대짬뽕전용)5kg,5kg,1,EA,28000,25455,2545,28000,공산품류
2025-04-22,143987,역대짬뽕(화목토)(99)新오산시청점,140434,(쥬뗌)아주존생겨자(승진/역대짬뽕전용)200g,200g*40,1,EA,3150,2864,286,3150,공산품류
2025-04-22,143987,역대짬뽕(화목토)(99)新오산시청점,140443,(쥬뗌)양장피채용분피(킹스/역대짬뽕전용)250g,250g*40,3,EA,2245,6123,612,6735,공산품류
2025-04-22,143987,역대짬뽕(화목토)(99)新오산시청점,140421,(쥬뗌)웰빙생단무지(그래도/반달채/역대짬뽕전용/2.5kg*4)BOX,(2.5kg*4),1,BOX,20300,20300,0,20300,공산품류
2025-04-22,143987,역대짬뽕(화목토)(99)新오산시청점,140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),2,BOX,58000,105455,10545,116000,공산품류
2025-04-22,143987,역대짬뽕(화목토)(99)新오산시청점,133806,■종이컵(일반/184ml/안다미로)BOX,(6.5oz*50)*20,1,BOX,10200,9273,927,10200,용품류
2025-04-22,143987,역대짬뽕(화목토)(99)新오산시청점,137788,냅킨(쉐프템/74매*80속/테이블)BOX,"5,920 매",1,BOX,11900,10818,1082,11900,용품류
2025-04-22,143987,역대짬뽕(화목토)(99)新오산시청점,119318,당면(KO/역대/중화)2kg,2kg*5,1,EA,7600,6909,691,7600,공산품류
2025-04-22,143987,역대짬뽕(화목토)(99)新오산시청점,116321,순두부(진선*콩:수입산)400g,400g*40,5,EA,564,2820,0,2820,공산품류
2025-04-24,143987,역대짬뽕(화목토)(99)新오산시청점,140426,(쥬뗌)간짜장소스(태영/역대짬뽕전용/1.8kg*5)BOX,(1.8kg*5)BOX,1,BOX,45000,40909,4091,45000,공산품류
2025-04-24,143987,역대짬뽕(화목토)(99)新오산시청점,140409,(쥬뗌)냉면육수(박스/농우/역대짬뽕전용/350*30)box,(350g*30),10,BOX,693,6300,630,6930,공산품류
2025-04-24,143987,역대짬뽕(화목토)(99)新오산시청점,140801,(쥬뗌)대왕오징어귀채(노랑/역대짬뽕전용/칠레산)5kg,5kg,1,BOX,44100,44100,0,44100,수산물류
2025-04-24,143987,역대짬뽕(화목토)(99)新오산시청점,140439,(쥬뗌)또또단무지(그래도/역대짬뽕전용/150g*80)BOX,(150g*80),1,BOX,28800,28800,0,28800,공산품류
2025-04-24,143987,역대짬뽕(화목토)(99)新오산시청점,140421,(쥬뗌)웰빙생단무지(그래도/반달채/역대짬뽕전용/2.5kg*4)BOX,(2.5kg*4),1,BOX,20300,20300,0,20300,공산품류
2025-04-24,143987,역대짬뽕(화목토)(99)新오산시청점,140115,깐메추리알(대림)1kg,1kg*10,1,EA,8670,7882,788,8670,공산품류
2025-04-24,143987,역대짬뽕(화목토)(99)新오산시청점,116239,냉동다진마늘(황보/중국산/빨강)1kg,1kg*10,5,EA,2630,13150,0,13150,공산품류
2025-04-24,143987,역대짬뽕(화목토)(99)新오산시청점,119394,락스(하이코리아*프레시)말통★13kg,13kg,1,통,4700,4273,427,4700,용품류
2025-04-24,143987,역대짬뽕(화목토)(99)新오산시청점,140725,만두(담두/마라/빨강테잎)1kg,1kg*8(34알/봉),2,EA,8200,14909,1491,16400,공산품류
2025-04-24,143987,역대짬뽕(화목토)(99)新오산시청점,116321,순두부(진선*콩:수입산)400g,400g*40,5,EA,564,2820,0,2820,공산품류
2025-04-26,143987,역대짬뽕(화목토)(99)新오산시청점,140426,(쥬뗌)간짜장소스(태영/역대짬뽕전용/1.8kg*5)BOX,(1.8kg*5)BOX,1,BOX,45000,40909,4091,45000,공산품류
2025-04-26,143987,역대짬뽕(화목토)(99)新오산시청점,140645,(쥬뗌)냉동바지락살(역대짬뽕전용/중국산/10kg/과세)BOX,10kg,1,BOX,44500,40455,4045,44500,수산물류
2025-04-26,143987,역대짬뽕(화목토)(99)新오산시청점,140449,(쥬뗌)냉동쭈꾸미(6미/역대짬뽕전용/베트남/180g*12)BOX,(180g*12),1,BOX,23800,23800,0,23800,수산물류
2025-04-26,143987,역대짬뽕(화목토)(99)新오산시청점,140801,(쥬뗌)대왕오징어귀채(노랑/역대짬뽕전용/칠레산)5kg,5kg,1,BOX,44100,44100,0,44100,수산물류
2025-04-26,143987,역대짬뽕(화목토)(99)新오산시청점,140416,(쥬뗌)돼지(돈후지/짜장/L/역대짬뽕전용)15kg,(5KG*3)BOX,1,BOX,100500,100500,0,100500,축산물류
2025-04-26,143987,역대짬뽕(화목토)(99)新오산시청점,140432,(쥬뗌)아주존백후추(승진/역대짬뽕전용)400g,400g*20,1,EA,10820,9836,984,10820,공산품류
2025-04-26,143987,역대짬뽕(화목토)(99)新오산시청점,140442,(쥬뗌)야채볶음밥(엄지/역대짬뽕전용/3kg*3)BOX,(3kg*3),1,BOX,45390,41264,4126,45390,공산품류
2025-04-26,143987,역대짬뽕(화목토)(99)新오산시청점,140421,(쥬뗌)웰빙생단무지(그래도/반달채/역대짬뽕전용/2.5kg*4)BOX,(2.5kg*4),1,BOX,20300,20300,0,20300,공산품류
2025-04-26,143987,역대짬뽕(화목토)(99)新오산시청점,140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),4,BOX,58000,210909,21091,232000,공산품류
2025-04-26,143987,역대짬뽕(화목토)(99)新오산시청점,140437,(쥬뗌)칼집대왕오징어몸채(빨강/역대짬뽕전용)5kg,5Kg,1,BOX,49100,49100,0,49100,수산물류
2025-04-26,143987,역대짬뽕(화목토)(99)新오산시청점,140143,만두(담두/자만두)1.26kg,1.26kg*8,8,EA,6000,43636,4364,48000,공산품류
2025-04-26,143987,역대짬뽕(화목토)(99)新오산시청점,116321,순두부(진선*콩:수입산)400g,400g*40,5,EA,564,2820,0,2820,공산품류
2025-04-29,143987,역대짬뽕(화목토)(99)新오산시청점,140444,(쥬뗌)데리야끼소스(태영/역대짬뽕전용)5kg,5kg,1,EA,28000,25455,2545,28000,공산품류
2025-04-29,143987,역대짬뽕(화목토)(99)新오산시청점,140439,(쥬뗌)또또단무지(그래도/역대짬뽕전용/150g*80)BOX,(150g*80),1,BOX,28800,28800,0,28800,공산품류
2025-04-29,143987,역대짬뽕(화목토)(99)新오산시청점,140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),2,BOX,58000,105455,10545,116000,공산품류
2025-04-29,143987,역대짬뽕(화목토)(99)新오산시청점,140418,(쥬뗌)참깨향기름(고향식품/역대짬뽕전용)1.8L,1.8L*8,2,EA,12100,22000,2200,24200,공산품류
2025-04-29,143987,역대짬뽕(화목토)(99)新오산시청점,140437,(쥬뗌)칼집대왕오징어몸채(빨강/역대짬뽕전용)5kg,5Kg,1,BOX,49100,49100,0,49100,수산물류
2025-04-29,143987,역대짬뽕(화목토)(99)新오산시청점,104537,굴소스(오뚜기/이금기/팬더)2.27kg,2.27kg*6,1,EA,12600,11455,1145,12600,공산품류
2025-04-29,143987,역대짬뽕(화목토)(99)新오산시청점,116240,냉동다진생강(황보)1kg,1kg*10,2,EA,5300,10600,0,10600,농산물류
2025-04-29,143987,역대짬뽕(화목토)(99)新오산시청점,119318,당면(KO/역대/중화)2kg,2kg*5,1,EA,7600,6909,691,7600,공산품류
2025-05-01,143987,역대짬뽕(화목토)(99)新오산시청점,140426,(쥬뗌)간짜장소스(태영/역대짬뽕전용/1.8kg*5)BOX,(1.8kg*5)BOX,1,BOX,80000,72727,7273,80000,공산품류
2025-05-01,143987,역대짬뽕(화목토)(99)新오산시청점,140442,(쥬뗌)야채볶음밥(엄지/역대짬뽕전용/3kg*3)BOX,(3kg*3),1,BOX,45390,41264,4126,45390,공산품류
2025-05-01,143987,역대짬뽕(화목토)(99)新오산시청점,140421,(쥬뗌)웰빙생단무지(그래도/반달채/역대짬뽕전용/2.5kg*4)BOX,(2.5kg*4),1,BOX,27800,27800,0,27800,공산품류
2025-05-01,143987,역대짬뽕(화목토)(99)新오산시청점,140412,(쥬뗌)중화면(면반죽★역대짬뽕전용/1.4kg*10)box,(1.4kg*10),3,BOX,54600,148909,14891,163800,공산품류
2025-05-01,143987,역대짬뽕(화목토)(99)新오산시청점,140411,(쥬뗌)중화면(얇은면/밀면/소면/역대짬뽕전용/1kg*10)box,(1kg*10),1,BOX,44000,40000,4000,44000,공산품류
2025-05-01,143987,역대짬뽕(화목토)(99)新오산시청점,140437,(쥬뗌)칼집대왕오징어몸채(빨강/역대짬뽕전용)5kg,5Kg,2,BOX,49100,98200,0,98200,수산물류
2025-05-01,143987,역대짬뽕(화목토)(99)新오산시청점,140143,만두(담두/자만두)1.26kg,1.26kg*8,8,EA,6000,43636,4364,48000,공산품류
2025-05-01,143987,역대짬뽕(화목토)(99)新오산시청점,116321,순두부(진선*콩:수입산)400g,400g*40,5,EA,564,2820,0,2820,공산품류
2025-05-01,143987,역대짬뽕(화목토)(99)新오산시청점,132446,참깨(해표/참고소한/볶음)1kg,1kg*10,1,EA,11500,10455,1045,11500,공산품류
2025-05-03,143987,역대짬뽕(화목토)(99)新오산시청점,139324,(면세)간장(마산명산/몽고/진)13L,13L,1,통,22600,22600,0,22600,공산품류
2025-05-03,143987,역대짬뽕(화목토)(99)新오산시청점,140426,(쥬뗌)간짜장소스(태영/역대짬뽕전용/1.8kg*5)BOX,(1.8kg*5)BOX,1,BOX,80000,72727,7273,80000,공산품류
2025-05-03,143987,역대짬뽕(화목토)(99)新오산시청점,140424,(쥬뗌)고춧가루(조은/고운/역대짬뽕전용/20kg)BOX,20KG,1,BOX,260000,260000,0,260000,공산품류
2025-05-03,143987,역대짬뽕(화목토)(99)新오산시청점,140409,(쥬뗌)냉면육수(박스/농우/역대짬뽕전용/350*30)box,(350g*30),1,BOX,20000,18182,1818,20000,공산품류
2025-05-03,143987,역대짬뽕(화목토)(99)新오산시청점,140801,(쥬뗌)대왕오징어귀채(노랑/역대짬뽕전용/칠레산)5kg,5kg,1,BOX,44100,44100,0,44100,수산물류
2025-05-03,143987,역대짬뽕(화목토)(99)新오산시청점,140439,(쥬뗌)또또단무지(그래도/역대짬뽕전용/150g*80)BOX,(150g*80),1,BOX,32800,32800,0,32800,공산품류
2025-05-03,143987,역대짬뽕(화목토)(99)新오산시청점,140427,(쥬뗌)생새우살(71-91/역대짬뽕전용/중국산/9kg)BOX,9kg,1,BOX,131000,131000,0,131000,수산물류
2025-05-03,143987,역대짬뽕(화목토)(99)新오산시청점,140442,(쥬뗌)야채볶음밥(엄지/역대짬뽕전용/3kg*3)BOX,(3kg*3),1,BOX,45390,41264,4126,45390,공산품류
